alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0,0,496.47,440,546,22.771673192806894,51,0,51,-4375.0,0.0,0.5432735027545762
0,1,457.71,404,529,20.47793690780397,57,0,57,-4585.0,0.0,0.5644215390083526
0,2,496.22,448,548,20.040249499444858,29,0,29,-4321.0,0.0,0.5443397902967834
0,3,473.27,411,519,22.679883156665515,61,0,61,-4470.0,0.0,0.5573129553936378
0,4,436.62,384,488,18.205372833314897,55,0,55,-4536.0,0.0,0.5661986849120313
0,5,455.15,410,508,19.66030264263498,50,0,50,-4468.0,0.0,0.5566020970321663
0,6,427.13,378,493,20.986498040406836,70,0,70,-4453.0,0.0,0.554291807357384
0,7,488.93,410,550,25.96622999204929,34,0,34,-4389.0,0.0,0.5523369468633375
0,8,468.43,416,521,23.605192225440575,38,0,38,-4519.0,0.0,0.5603341034298915
0,9,487.51,420,529,20.547260157987,36,0,36,-4270.0,0.0,0.5434512173449441
0,10,471.91,434,515,18.26039156206679,53,0,53,-4456.0,0.0,0.5525146614537053
0,11,459.31,409,522,20.305021546405708,32,0,32,-4390.0,0.0,0.5553580948995912
0,12,460.86,410,519,21.409353096252115,66,0,66,-4438.0,0.0,0.5553580948995912
0,13,472.51,425,522,19.894971726544373,50,0,50,-4398.0,0.0,0.5473609383330371
0,14,454.08,409,506,20.16565396906334,74,0,74,-4419.0,0.0,0.5512706593211303
0,15,466.17,420,525,19.776781841341123,52,0,52,-4441.0,0.0,0.5553580948995912
0,16,462.06,404,520,20.582915245416526,50,0,50,-4317.0,0.0,0.5482495112848765
0,17,481.03,428,532,20.378643232560893,46,0,46,-4469.0,0.0,0.5496712280078194
0,18,451.1,412,490,18.65931402812011,48,0,48,-4368.0,0.0,0.552870090634441
0,19,457.07,403,495,20.223874505148615,54,0,54,-4380.0,0.0,0.5512706593211303
0,20,470.44,419,522,20.694115105507652,44,0,44,-4582.0,0.0,0.5647769681890883
0,21,445.33,387,504,22.60621817111389,45,0,45,-4472.0,0.0,0.5592678158876844
0,22,484.48,427,540,23.38738121295328,65,0,65,-4395.0,0.0,0.5583792429358451
0,23,438.21,385,488,20.59237480233885,47,0,47,-4517.0,0.0,0.5637106806468811
0,24,472.95,431,523,20.01118437274516,48,0,48,-4613.0,0.0,0.5629998222854097
0,25,478.06,434,521,20.41363269974259,45,0,45,-4504.0,0.0,0.5548249511284876
0,26,456.95,418,514,18.843234860288717,33,0,33,-4512.0,0.0,0.5551803803092233
0,27,423.53,383,475,19.53737699897302,63,0,63,-4579.0,0.0,0.5674426870446063
0,28,478.81,424,552,22.79986622767774,56,0,56,-4436.0,0.0,0.5505598009596588
0,29,481.5,441,535,18.92168068645066,51,0,51,-4469.0,0.0,0.5535809489959126
0,30,484.42,433,546,20.630162384237313,47,0,47,-4428.0,0.0,0.5571352408032699
0,31,413.35,361,453,20.349140030969373,51,0,51,-4420.0,0.0,0.5514483739114981
0,32,463.55,389,524,20.979692562094424,63,0,63,-4452.0,0.0,0.5582015283454772
0,33,463.03,398,521,21.503699681682683,59,0,59,-4505.0,0.0,0.5580238137551093
0,34,471.56,400,515,19.898904492458875,52,0,52,-4411.0,0.0,0.5576683845743735
0,35,457.39,408,503,19.491995793145453,64,0,64,-4571.0,0.0,0.5699306913097565
0,36,419.91,372,472,19.403141498221363,64,0,64,-4514.0,0.0,0.5617558201528345
0,37,440.19,387,489,18.535746545526568,65,0,65,-4416.0,0.0,0.5553580948995912
0,38,411.16,371,460,17.654302591719674,35,0,35,-4483.0,0.0,0.559800959658788
0,39,481.29,435,533,18.33700902546541,80,0,80,-4302.0,0.0,0.550204371778923
0,40,483.49,423,533,18.977088817835046,51,0,51,-4267.0,0.0,0.5425626443931046
0,41,469.84,421,522,20.591124301504276,68,0,68,-4462.0,0.0,0.5546472365381198
0,42,452.85,406,493,19.6333262591951,60,0,60,-4451.0,0.0,0.5576683845743735
0,43,479.88,425,525,20.29200827912309,65,0,65,-4404.0,0.0,0.5526923760440732
0,44,483.65,443,531,16.686146948891466,51,0,51,-4302.0,0.0,0.5443397902967834
0,45,473.18,424,524,21.23693951585303,57,0,57,-4342.0,0.0,0.5446952194775191
0,46,450.33,405,489,18.77874063935066,45,0,45,-4380.0,0.0,0.5510929447307624
0,47,458.82,396,512,21.187439675430344,43,0,43,-4549.0,0.0,0.5715301226230673
0,48,445.73,402,498,19.289818557985456,61,0,61,-4363.0,0.0,0.5432735027545762
0,49,468.64,428,514,18.146911582966396,48,0,48,-4317.0,0.0,0.5493157988270837
0,50,468.83,415,520,21.039512827059472,64,0,64,-4408.0,0.0,0.5510929447307624
0,51,459.49,411,500,18.507563318816448,77,0,77,-4491.0,0.0,0.5603341034298915
0,52,447.36,394,487,18.218408272952935,73,0,73,-4482.0,0.0,0.5580238137551093
0,53,464.84,422,514,17.960913117099587,50,0,50,-4465.0,0.0,0.5500266571885551
0,54,429.07,383,478,19.074199852156315,49,0,49,-4496.0,0.0,0.5555358094899592
0,55,462.26,414,502,17.654812375100448,57,0,57,-4303.0,0.0,0.5491380842367158
0,56,473.33,426,530,20.922263261894017,61,0,61,-4421.0,0.0,0.5505598009596588
0,57,450.16,410,499,17.047416226513626,69,0,69,-4413.0,0.0,0.5539363781766483
0,58,462.55,399,499,21.422126411726733,65,0,65,-4406.0,0.0,0.5505598009596588
0,59,479.73,423,529,22.386091664245455,56,0,56,-4322.0,0.0,0.5466500799715657
0,60,447.97,401,495,18.783745632860345,59,0,59,-4472.0,0.0,0.561222676381731
0,61,411.62,361,476,20.231549619344534,51,0,51,-4514.0,0.0,0.5596232450684201
0,62,450.35,395,496,20.16946950219564,56,0,56,-4503.0,0.0,0.5621112493335703
0,63,421.24,369,461,21.927662894161795,50,0,50,-4465.0,0.0,0.5640661098276168
