alpha,instance_id,read_idx,hd,energy,delta_energy,is_target
0.001,0,19,466,-4466.306000000386,26.741999999613654,0
0.001,0,20,477,-4466.177000000375,26.870999999624473,0
0.001,0,21,484,-4466.10300000037,26.944999999629545,0
0.001,0,22,413,-4465.800000000388,27.247999999612148,0
0.001,0,23,431,-4465.582000000377,27.46599999962291,0
0.001,0,24,445,-4465.575000000394,27.472999999606145,0
0.001,0,25,457,-4465.464000000376,27.58399999962421,0
0.001,0,26,461,-4465.330000000373,27.717999999626954,0
0.001,0,27,478,-4465.246000000381,27.8019999996186,0
0.001,0,28,488,-4465.171000000382,27.87699999961751,0
0.001,0,29,465,-4465.140000000383,27.90799999961655,0
0.001,0,30,487,-4465.062000000367,27.98599999963244,0
0.001,0,31,407,-4464.872000000386,28.17599999961385,0
0.001,0,32,445,-4464.553000000365,28.494999999635183,0
0.001,0,33,450,-4464.531000000388,28.51699999961147,0
0.001,0,34,446,-4464.473000000359,28.574999999640568,0
0.001,0,35,442,-4464.422000000391,28.62599999960912,0
0.001,0,36,453,-4464.406000000397,28.641999999602376,0
0.001,0,37,470,-4464.34500000037,28.702999999629355,0
0.001,0,38,466,-4464.2990000003865,28.74899999961326,0
0.001,0,39,474,-4464.282000000379,28.765999999620362,0
0.001,0,40,482,-4464.254000000376,28.79399999962334,0
0.001,0,41,468,-4464.242000000384,28.80599999961578,0
0.001,0,42,506,-4463.987000000359,29.060999999640444,0
0.001,0,43,492,-4463.941000000368,29.106999999631626,0
0.001,0,44,417,-4463.7060000003985,29.341999999601285,0
0.001,0,45,428,-4463.603000000383,29.44499999961681,0
0.001,0,46,448,-4463.461000000384,29.586999999615728,0
0.001,0,47,470,-4463.383000000374,29.66499999962616,0
0.001,0,48,466,-4463.209000000397,29.838999999602493,0
0.001,0,49,481,-4463.145000000368,29.902999999631902,0
0.001,0,50,487,-4463.067000000366,29.98099999963415,0
0.001,0,51,434,-4462.524000000396,30.523999999603802,0
0.001,0,52,454,-4462.40700000038,30.640999999619453,0
0.001,0,53,461,-4462.327000000382,30.72099999961756,0
0.001,0,54,456,-4462.322000000381,30.72599999961858,0
0.001,0,55,477,-4462.307000000384,30.74099999961618,0
0.001,0,56,455,-4462.264000000381,30.783999999618572,0
0.001,0,57,476,-4462.238000000361,30.80999999963842,0
0.001,0,58,470,-4462.226000000375,30.821999999624495,0
0.001,0,59,474,-4462.200000000374,30.847999999626154,0
0.001,0,60,508,-4461.8080000003665,31.239999999633255,0
0.001,0,61,427,-4461.579000000383,31.468999999617154,0
0.001,0,62,458,-4461.402000000379,31.64599999962047,0
0.001,0,63,457,-4461.3650000003745,31.68299999962528,0
0.001,0,64,482,-4461.239000000383,31.80899999961639,0
0.001,0,65,475,-4461.076000000382,31.971999999617765,0
0.001,0,66,479,-4461.069000000384,31.978999999615553,0
0.001,0,67,503,-4460.999000000354,32.048999999646185,0
0.001,0,68,446,-4460.515000000381,32.53299999961837,0
0.001,0,69,476,-4460.161000000385,32.886999999615,0
0.001,0,70,480,-4460.068000000372,32.97999999962758,0
0.001,0,71,501,-4459.99200000038,33.05599999961942,0
